mes;linea;estacion;cantidad
12/2019;belgranonorte;"Boulogne Sur";189118
12/2019;belgranonorte;Carapachay;44049
12/2019;belgranonorte;"Del Viso";76691
12/2019;belgranonorte;"Don Torcuato";128986
12/2019;belgranonorte;Florida;37226
12/2019;belgranonorte;"Grand Bourg";220363
12/2019;belgranonorte;"Ing. P. Nogués";103460
12/2019;belgranonorte;"Los Polvorines";137590
12/2019;belgranonorte;Munro;98282
12/2019;belgranonorte;"R. S. Ortíz";29953
12/2019;belgranonorte;Retiro;452014
12/2019;belgranonorte;"Villa Adelina";102193
12/2019;belgranonorte;"Villa Rosa";73613
12/2019;belgranosur;"20 de Junio";2551
12/2019;belgranosur;"Aldo Bonzi";3387
12/2018;belgranosur;"Aldo Bonzi";2967
12/2018;belgranosur;"Buenos Aires";8
12/2018;belgranosur;Castello;63065
12/2019;belgranosur;Castello;74716
12/2019;belgranosur;Castillo;46729
12/2018;belgranosur;Castillo;32909
12/2018;belgranosur;"Eva Duarte";43321
12/2019;belgranosur;"Eva Duarte";52890
12/2019;belgranosur;Fournier;40471
12/2018;belgranosur;Fournier;34142
12/2018;belgranosur;"G. Catan";158635
12/2019;belgranosur;"G. Catan";225286
12/2019;belgranosur;"I. Casanova";30212
12/2018;belgranosur;"I. Casanova";23087
12/2018;belgranosur;Illia;17970
12/2019;belgranosur;Illia;26205
12/2019;belgranosur;Independencia;136822
12/2018;belgranosur;Independencia;121992
12/2018;belgranosur;"J. Ingenieros";3372
12/2019;belgranosur;"J. Ingenieros";5105
12/2019;belgranosur;"KM. 12";2763
12/2018;belgranosur;"KM. 12";1355
12/2018;belgranosur;Laferrere;206912
12/2019;belgranosur;Laferrere;240478
12/2019;belgranosur;Libertad;40104
12/2018;belgranosur;Libertad;27322
12/2018;belgranosur;"M. Belgrano";36742
12/2019;belgranosur;"M. Belgrano";43576
12/2019;belgranosur;Mendeville;4915
12/2018;belgranosur;Mendeville;4707
12/2018;belgranosur;"Merlo Gomez";20940
12/2019;belgranosur;"Merlo Gomez";23116
12/2019;belgranosur;Querandi;26506
12/2018;belgranosur;Querandi;21520
12/2018;belgranosur;Saenz;228269
12/2019;belgranosur;Saenz;287061
12/2019;belgranosur;Tapiales;49892
12/2018;belgranosur;Tapiales;41840
12/2018;belgranosur;"V. Madero";62193
12/2019;belgranosur;"V. Madero";76193
12/2019;belgranosur;"V. Soldati";41288
12/2018;belgranosur;"V. Soldati";30499
