mes;linea;estacion;cantidad
01/12/2019;belgranonorte;Boulogne Sur;189118
01/12/2019;belgranonorte;Carapachay;44049
01/12/2019;belgranonorte;Del Viso;76691
01/12/2019;belgranonorte;Don Torcuato;128986
01/12/2019;belgranonorte;Florida;37226
01/12/2019;belgranonorte;Grand Bourg;220363
01/12/2019;belgranonorte;Ing. P. Nogués;103460
01/12/2019;belgranonorte;Los Polvorines;137590
01/12/2019;belgranonorte;Munro;98282
01/12/2019;belgranonorte;R. S. Ortíz;29953
01/12/2019;belgranonorte;Retiro;452014
01/12/2019;belgranonorte;Villa Adelina;102193
01/12/2019;belgranonorte;Villa Rosa;73613
01/12/2019;belgranosur;20 de Junio;2551
01/12/2019;belgranosur;Aldo Bonzi;3387
01/12/2018;belgranosur;Aldo Bonzi;2967
01/12/2018;belgranosur;Buenos Aires;8
01/12/2018;belgranosur;Castello;63065
01/12/2019;belgranosur;Castello;74716
01/12/2019;belgranosur;Castillo;46729
01/12/2018;belgranosur;Castillo;32909
01/12/2018;belgranosur;Eva Duarte;43321
01/12/2019;belgranosur;Eva Duarte;52890
01/12/2019;belgranosur;Fournier;40471
01/12/2018;belgranosur;Fournier;34142
01/12/2018;belgranosur;G. Catan;158635
01/12/2019;belgranosur;G. Catan;225286
01/12/2019;belgranosur;I. Casanova;30212
01/12/2018;belgranosur;I. Casanova;23087
01/12/2018;belgranosur;Illia;17970
01/12/2019;belgranosur;Illia;26205
01/12/2019;belgranosur;Independencia;136822
01/12/2018;belgranosur;Independencia;121992
01/12/2018;belgranosur;J. Ingenieros;3372
01/12/2019;belgranosur;J. Ingenieros;5105
01/12/2019;belgranosur;KM. 12;2763
01/12/2018;belgranosur;KM. 12;1355
01/12/2018;belgranosur;Laferrere;206912
01/12/2019;belgranosur;Laferrere;240478
01/12/2019;belgranosur;Libertad;40104
01/12/2018;belgranosur;Libertad;27322
01/12/2018;belgranosur;M. Belgrano;36742
01/12/2019;belgranosur;M. Belgrano;43576
01/12/2019;belgranosur;Mendeville;4915
01/12/2018;belgranosur;Mendeville;4707
01/12/2018;belgranosur;Merlo Gomez;20940
01/12/2019;belgranosur;Merlo Gomez;23116
01/12/2019;belgranosur;Querandi;26506
01/12/2018;belgranosur;Querandi;21520
01/12/2018;belgranosur;Saenz;228269
01/12/2019;belgranosur;Saenz;287061
01/12/2019;belgranosur;Tapiales;49892
01/12/2018;belgranosur;Tapiales;41840
01/12/2018;belgranosur;V. Madero;62193
01/12/2019;belgranosur;V. Madero;76193
01/12/2019;belgranosur;V. Soldati;41288
01/12/2018;belgranosur;V. Soldati;30499
01/12/2018;belgranosur;V.lugano;80351
01/12/2019;belgranosur;V.lugano;101623
01/12/2019;belgranosur;Villegas;5959
01/12/2018;belgranosur;Villegas;5275
01/12/2018;mitre;3 De Febrero;63556
01/12/2019;mitre;3 De Febrero;57018
01/12/2019;mitre;Acassuso;62778
01/12/2018;mitre;Acassuso;53970
01/12/2018;mitre;Beccar;59702
01/12/2019;mitre;Beccar;76853
01/12/2019;mitre;Belgrano C.;343434
01/12/2018;mitre;Belgrano C.;266933
01/12/2018;mitre;Belgrano R.;166508
01/12/2019;mitre;Belgrano R.;167615
01/12/2019;mitre;Benavidez;264
01/12/2018;mitre;Benavidez;522
01/12/2018;mitre;Capilla Del Señor;13
01/12/2019;mitre;Capilla Del Señor;128
01/12/2019;mitre;Carranza;152489
01/12/2018;mitre;Carranza;163323
01/12/2018;mitre;Carupa;86410
01/12/2019;mitre;Carupa;104406
01/12/2019;mitre;Centrangolo;14352
01/12/2018;mitre;Centrangolo;14388
01/12/2018;mitre;Chilavert;47020
01/12/2019;mitre;Chilavert;47345
01/12/2019;mitre;Coghlan;27677
01/12/2018;mitre;Coghlan;19048
01/12/2018;mitre;Colegiales;60808
01/12/2019;mitre;Colegiales;77760
01/12/2019;mitre;Drago;46602
01/12/2018;mitre;Drago;29070
01/12/2018;mitre;El Talar;70
01/12/2019;mitre;El Talar;15
01/12/2019;mitre;Escobar;2082
01/12/2018;mitre;Escobar;2823
01/12/2018;mitre;Florida;19344
01/12/2019;mitre;Florida;17548
01/12/2019;mitre;Garin;880
01/12/2018;mitre;Garin;995
01/12/2018;mitre;Jose Leon Suarez;225634
01/12/2019;mitre;Jose Leon Suarez;219481
01/12/2019;mitre;Juan B. Justo;17634
01/12/2018;mitre;Juan B. Justo;18843
01/12/2019;mitre;L. De La Torre;59543
01/12/2019;mitre;La Lucila;59966
01/12/2018;mitre;La Lucila;51743
01/12/2018;mitre;Lopez Camelo;57
01/12/2019;mitre;Lopez Camelo;1511
01/12/2019;mitre;Malaver;27710
